CarNumber,Refund,Fines,Make,Model,Year
8224XX154RUS,1.0,2500.0,Ford,Focus,1996
O22397197RUS,1.0,18500.0,Ford,Focus,2010
Y653E8750RUS,1.0,500.0,Skoda,Octavia,2007
K558KC161RUS,1.0,500.0,Ford,Focus,1994
O058M7161RUS,1.0,1900.0,Ford,Focus,1988
M256OH161RUS,2.0,1600.0,Ford,Focus,1997
7183TT36RUS,2.0,5400.0,Ford,Focus,2015
T242H8197RUS,2.0,8594.6,Skoda,Octavia,1989
K27188138RUS,1.0,2000.0,Ford,Focus,2016
X782CO96RUS,1.0,1000.0,Ford,Focus,2001
Y7659C197RUS,1.0,1500.0,Ford,Focus,1981
X523OM161RUS,1.0,400.0,Ford,Focus,1995
96629X178RUS,1.0,7000.0,Ford,Focus,2008
9881HX152RUS,2.0,10300.0,Ford,Focus,1990
9020YC197RUS,2.0,72500.0,Skoda,Octavia,2009
T479KX197RUS,2.0,12000.0,Ford,Focus,2014
M680T9152RUS,2.0,9000.0,Volkswagen,Jetta,2014
7831C8197RUS,2.0,6800.0,Ford,Focus,2011
7844C8197RUS,2.0,17000.0,Ford,Focus,2001
T011MY163RUS,2.0,4000.0,Ford,Focus,1998
C410X938RUS,1.0,1100.0,Ford,Focus,1993
X762HY197RUS,1.0,500.0,Ford,Focus,1997
9470EX178RUS,1.0,500.0,Ford,Focus,2017
X4128H125RUS,2.0,8594.6,Ford,Focus,2000
9762HY161RUS,2.0,2600.0,Ford,Focus,2000
H419XE197RUS,2.0,6900.0,Toyota,Corolla,2002
98017H178RUS,1.0,1500.0,Ford,Focus,1983
Y780EE197RUS,2.0,4600.0,Volkswagen,Golf,1997
M580CH197RUS,,9500.0,Ford,Focus,1985
T686EO197RUS,1.0,1000.0,Toyota,Camry,1992
9943OH154RUS,1.0,400.0,Skoda,Octavia,2013
Y354O8197RUS,1.0,10800.0,Ford,Focus,2000
7065C8197RUS,1.0,3800.0,Volkswagen,Passat,1989
E28777161RUS,1.0,800.0,Ford,Focus,1996
M701T9152RUS,2.0,3000.0,Ford,Focus,2003
E577HE77RUS,2.0,12000.0,Ford,Focus,2004
92788M178RUS,1.0,1200.0,Ford,Focus,1993
9072EM178RUS,2.0,4400.0,Ford,Focus,1993
9409H7178RUS,1.0,3000.0,Skoda,Octavia,2005
C3829X154RUS,2.0,13500.0,Ford,Focus,2012
T478KX197RUS,2.0,7500.0,Ford,Focus,1993
T119CT96RUS,1.0,2000.0,Ford,Focus,1980
X795O796RUS,1.0,1000.0,Ford,Focus,2005
708487163RUS,1.0,1000.0,Ford,Focus,1997
H983HY161RUS,1.0,500.0,Ford,Focus,1985
7842C8197RUS,1.0,6000.0,Ford,Focus,2010
O64097197RUS,2.0,8594.6,Ford,Focus,1992
Y693HM197RUS,2.0,6500.0,BMW,,1987
96857X197RUS,1.0,37800.0,Skoda,Octavia,2018
7177TT36RUS,1.0,500.0,Ford,Focus,1989
9428EX178RUS,1.0,500.0,Ford,Focus,2009
84438C154RUS,2.0,7600.0,Ford,Focus,2000
Y7689C197RUS,2.0,9000.0,Ford,Focus,1989
H427YH197RUS,1.0,9900.0,Volkswagen,Passat,1981
T394KX197RUS,2.0,1500.0,Ford,Focus,2014
O49897197RUS,2.0,11800.0,Ford,Focus,2015
H963X936RUS,1.0,1800.0,Skoda,Octavia,1989
T341CC96RUS,2.0,1000.0,Volkswagen,Passat,1986
9942KK197RUS,2.0,6200.0,Ford,Focus,2017
9141H8178RUS,1.0,300.0,Skoda,Octavia,2009
9942KK197RUS,2.0,3100.0,Ford,Focus,1985
7370C8197RUS,2.0,5000.0,Ford,Focus,2017
9890HX152RUS,2.0,9200.0,Ford,Focus,1986
9409H7178RUS,1.0,6000.0,Skoda,Octavia,1988
M268CH197RUS,1.0,800.0,Toyota,Camry,1998
Y780EE197RUS,1.0,2300.0,Volkswagen,Golf,2006
Y388E877RUS,2.0,9500.0,Ford,Focus,1990
C419X938RUS,1.0,1100.0,Ford,Focus,1994
M0319X197RUS,2.0,4500.0,Ford,Focus,1981
M577CH197RUS,2.0,17000.0,Ford,Focus,2001
7361C8197RUS,1.0,8594.6,Ford,Focus,1983
H975HY161RUS,1.0,2000.0,Ford,Focus,2008
X018HY197RUS,2.0,10600.0,Toyota,Camry,1996
E33177152RUS,2.0,7100.0,Ford,Focus,1995
X256HE161RUS,2.0,1600.0,Ford,Focus,2013
Y7689C197RUS,2.0,45000.0,Ford,Focus,2006
7788KT197RUS,2.0,4000.0,Ford,Focus,2016
9491H7178RUS,1.0,500.0,Volkswagen,Jetta,1995
M374CH197RUS,1.0,5500.0,Ford,Focus,1983
96679X178RUS,2.0,2400.0,Ford,Focus,2001
9594HY161RUS,1.0,300.0,Ford,Focus,1987
83218C154RUS,1.0,100.0,Ford,Focus,2002
9764HY161RUS,1.0,800.0,Ford,Focus,1996
708187163RUS,1.0,1000.0,Ford,Focus,2012
H908YK197RUS,1.0,4800.0,Ford,Focus,2014
H004MH197RUS,2.0,19800.0,Ford,Focus,2013
92788M178RUS,1.0,300.0,Ford,Focus,2001
Y656E8750RUS,1.0,8594.6,Skoda,Octavia,2010
9679EC178RUS,1.0,500.0,Ford,Focus,1984
O017KO197RUS,1.0,1600.0,Ford,Focus,2011
H957HY161RUS,1.0,1000.0,Ford,Focus,2009
X286TC36RUS,1.0,500.0,Ford,Focus,2017
C803KE163RUS,1.0,1000.0,Volkswagen,Jetta,2002
Y7379Y50RUS,2.0,2000.0,Ford,Focus,1988
X320MK197RUS,1.0,7500.0,Ford,Focus,1980
C476M7161RUS,2.0,500.0,Ford,Focus,2012
H844YH197RUS,1.0,1000.0,Ford,Focus,1983
96907X197RUS,2.0,3000.0,BMW,,2016
Y650E8750RUS,1.0,1000.0,Skoda,Octavia,1994
H235YH197RUS,2.0,5100.0,Skoda,Octavia,1990
9474EX178RUS,1.0,500.0,Ford,Focus,1981
Y8259C197RUS,1.0,1500.0,Ford,Focus,2007
E29577161RUS,1.0,500.0,Ford,Focus,1988
X761HY197RUS,2.0,18300.0,Ford,Focus,1991
H387TM197RUS,1.0,8594.6,Volkswagen,Passat,2014
T396KX197RUS,2.0,10300.0,Ford,Focus,1997
C593EY154RUS,1.0,1000.0,Ford,Focus,2016
Y164O8161RUS,1.0,800.0,Ford,Focus,2017
M942OT152RUS,1.0,2000.0,Ford,Focus,2012
T476KX197RUS,2.0,4500.0,Ford,Focus,2006
H889YK197RUS,2.0,21200.0,Ford,Focus,2008
Y7429Y50RUS,2.0,2000.0,Ford,Focus,1982
H976HY161RUS,2.0,2200.0,Ford,Focus,2012
C410X938RUS,2.0,2200.0,Ford,Focus,2015
Y195O8161RUS,1.0,100.0,Ford,Focus,1988
O669E8197RUS,1.0,18000.0,Ford,Focus,1995
Y187O8161RUS,2.0,400.0,Ford,Focus,2008
K329T8197RUS,2.0,13000.0,Skoda,Octavia,2010
96659X178RUS,1.0,900.0,Ford,Focus,1983
7842C8197RUS,2.0,12000.0,Ford,Focus,1984
O275O7161RUS,1.0,8300.0,Ford,Focus,2000
9677MO178RUS,1.0,2200.0,Ford,Mondeo,1988
H957HY161RUS,1.0,8594.6,Ford,Focus,1981
M0279X197RUS,2.0,36000.0,Ford,Focus,1996
9939KK197RUS,1.0,1600.0,Ford,Focus,1985
Y8399C197RUS,1.0,600.0,Ford,Focus,2014
M373CH197RUS,2.0,6600.0,Ford,Focus,1997
7164YM36RUS,2.0,18800.0,Ford,Focus,2010
7843C8197RUS,2.0,4100.0,Ford,Focus,2007
O753MX161RUS,2.0,700.0,Ford,Focus,1986
9468EX178RUS,2.0,2000.0,Ford,Focus,1987
T395KX197RUS,2.0,7600.0,Ford,Focus,2003
T6488M116RUS,2.0,21000.0,Ford,Focus,1980
7361C8197RUS,1.0,800.0,Ford,Focus,1986
98047H178RUS,1.0,500.0,Ford,Focus,2011
8316XX154RUS,1.0,1100.0,Ford,Focus,2000
O752MX161RUS,2.0,2600.0,Ford,Focus,2018
8234XX154RUS,2.0,2600.0,Ford,Focus,1988
9488EY178RUS,2.0,1300.0,Ford,Focus,1998
96857X197RUS,,18900.0,Skoda,Octavia,2009
O481OH77RUS,,1000.0,Toyota,Camry,1999
K326T8197RUS,1.0,100.0,Volkswagen,Passat,1989
90159H178RUS,1.0,8594.6,Volkswagen,Passat,2016
9469EX178RUS,1.0,4200.0,Ford,Focus,1981
X796TH96RUS,1.0,500.0,Ford,Focus,2007
9499KX178RUS,1.0,4600.0,Ford,Focus,2010
Y358O8197RUS,2.0,21800.0,Ford,Focus,1981
C420X938RUS,2.0,3300.0,Ford,Focus,1993
Y965O8197RUS,2.0,1600.0,Ford,Focus,1998
96429X178RUS,2.0,1300.0,Ford,Focus,1990
Y274O8197RUS,,10700.0,Ford,Focus,2006
Y358O8197RUS,1.0,43600.0,Ford,Focus,2005
E223YM197RUS,2.0,19500.0,Ford,Focus,1982
E42277152RUS,2.0,5300.0,Ford,Focus,2005
E34877152RUS,2.0,36600.0,Ford,Focus,1989
Y964EE197RUS,2.0,8594.6,Ford,Focus,1992
T6049O50RUS,2.0,15000.0,Ford,Focus,1998
8601XX154RUS,1.0,3900.0,Skoda,Octavia,2015
H259HY161RUS,1.0,900.0,Toyota,Corolla,1999
T940CC96RUS,1.0,500.0,Ford,Focus,2008
T288CT96RUS,1.0,1500.0,Ford,Focus,2004
Y6839Y50RUS,1.0,1500.0,Ford,Focus,2000
Y344E877RUS,1.0,1000.0,Ford,Focus,1992
K889HY161RUS,2.0,46200.0,Ford,Mondeo,1999
H214X836RUS,1.0,8000.0,Ford,Focus,1989
T399KX197RUS,2.0,15300.0,Ford,Focus,1998
O421OT161RUS,1.0,1200.0,Skoda,Octavia,1993
H232YH197RUS,1.0,8594.6,Ford,Focus,1980
7360C8197RUS,2.0,9600.0,Ford,Focus,2002
T6418M116RUS,1.0,49200.0,Ford,Focus,2009
7248C8197RUS,2.0,34400.0,Ford,Mondeo,2010
Y194O8161RUS,2.0,900.0,Ford,Focus,1994
9881HX152RUS,2.0,20600.0,Ford,Focus,2010
T6359O50RUS,2.0,13500.0,Ford,Focus,1985
E29677161RUS,2.0,6000.0,Ford,Focus,2011
T020MM116RUS,2.0,3000.0,Skoda,Octavia,1998
C798ET50RUS,1.0,5000.0,Ford,Focus,2001
Y7719C197RUS,2.0,4600.0,Ford,Focus,1998
9502XX38RUS,1.0,3000.0,Skoda,Octavia,1988
8521XX154RUS,1.0,1000.0,Ford,Focus,1981
Y273O8197RUS,2.0,26300.0,Ford,Focus,1982
M580CH197RUS,2.0,47500.0,Ford,Focus,1997
K376HE161RUS,1.0,100.0,Ford,Focus,1980
7193TT36RUS,2.0,3300.0,Ford,Focus,1981
O785T9163RUS,1.0,500.0,Ford,Focus,1994
H618YC38RUS,,300.0,Volkswagen,Golf,1986
Y7689C197RUS,1.0,36000.0,Ford,Focus,2012
M592CH197RUS,1.0,3500.0,Skoda,Octavia,1994
Y352O8197RUS,2.0,77700.0,Ford,Focus,1987
9068EM178RUS,1.0,600.0,Ford,Focus,2010
7783KT197RUS,1.0,6000.0,Ford,Focus,2009
Y305E877RUS,2.0,2500.0,Ford,Focus,1980
E881OT197RUS,2.0,5500.0,Skoda,Octavia,2003
Y8259C197RUS,2.0,3000.0,Ford,Focus,2000
Y969O8197RUS,2.0,7800.0,Ford,Focus,1990
92928M178RUS,2.0,3000.0,Ford,Focus,2001
O718MM163RUS,2.0,7000.0,Ford,Focus,1996
Y7129Y50RUS,1.0,8594.6,Ford,Focus,1998
9975CC77RUS,2.0,7000.0,Ford,Focus,2018
C592EY154RUS,1.0,2000.0,Ford,Focus,2002
T195OK161RUS,1.0,6700.0,Ford,Mondeo,2005
Y966O8197RUS,2.0,20800.0,Ford,Focus,2007
T914CT197RUS,2.0,7200.0,Toyota,Camry,1997
E41977152RUS,2.0,2400.0,Ford,Focus,2012
T171CC96RUS,1.0,1000.0,Ford,Focus,1997
9464EX178RUS,2.0,2100.0,Ford,Focus,2003
O50197197RUS,2.0,7800.0,Ford,Focus,2007
7608EE777RUS,1.0,4000.0,Skoda,Octavia,2006
X583HE161RUS,1.0,3000.0,Ford,Focus,2015
Y7229Y50RUS,2.0,2500.0,Ford,Focus,2001
M6977E152RUS,1.0,500.0,Ford,Focus,1980
K2797K154RUS,1.0,800.0,Ford,Focus,2016
8325M7154RUS,1.0,1000.0,Ford,Focus,1985
Y192O8161RUS,2.0,300.0,Ford,Focus,2004
7784KT197RUS,1.0,6600.0,Ford,Focus,1981
96599X178RUS,1.0,500.0,Ford,Focus,2003
X760HY197RUS,1.0,10100.0,Ford,Focus,1983
Y358O8197RUS,2.0,10900.0,Ford,Focus,2005
H966HY161RUS,1.0,500.0,Ford,Focus,2016
9938KK197RUS,2.0,28500.0,Ford,Focus,1980
98087H178RUS,1.0,8594.6,Ford,Focus,1980
K2807K154RUS,1.0,500.0,Ford,Focus,2006
H977HY161RUS,1.0,600.0,Ford,Focus,1987
7367C8197RUS,1.0,6000.0,Ford,Focus,2004
9137X938RUS,1.0,1600.0,Ford,Focus,1990
Y356O8197RUS,2.0,15300.0,Ford,Focus,1980
9398MM199RUS,1.0,300.0,Volkswagen,Passat,1991
8436XX154RUS,1.0,2400.0,Ford,Focus,2000
8180XX154RUS,2.0,1400.0,Ford,Focus,1990
E53477152RUS,1.0,7200.0,Ford,Focus,1985
O718MM163RUS,2.0,3500.0,Ford,Focus,2006
9677MO178RUS,1.0,1100.0,Ford,Mondeo,2009
9498KX178RUS,1.0,4000.0,Ford,Focus,1986
K436MO152RUS,2.0,3000.0,Ford,Focus,2014
7194TT36RUS,2.0,2300.0,Ford,Focus,1987
7364C8197RUS,2.0,4500.0,Ford,Focus,1993
O136HO197RUS,2.0,7800.0,Toyota,Corolla,2011
O68897197RUS,2.0,12300.0,Ford,Focus,2004
O718MM163RUS,2.0,8594.6,Ford,Focus,1990
7065C8197RUS,2.0,11400.0,Volkswagen,Passat,2010
O22097197RUS,1.0,24300.0,Ford,Focus,2007
Y163O8161RUS,2.0,1600.0,Ford,Focus,2000
M0309X197RUS,1.0,22300.0,Ford,Focus,2010
O673E8197RUS,2.0,600.0,Ford,Focus,1986
8610T8154RUS,1.0,2000.0,Ford,Focus,1992
H419XE197RUS,2.0,8594.6,Toyota,Corolla,1998
M0299X197RUS,2.0,19200.0,Ford,Focus,1990
83298C154RUS,2.0,8594.6,Ford,Focus,1998
H957HY161RUS,1.0,2000.0,Ford,Focus,2009
T941CC96RUS,1.0,2000.0,Ford,Focus,1982
H966HY161RUS,1.0,500.0,Ford,Focus,2000
Y655E8750RUS,2.0,5200.0,Skoda,Octavia,1999
C410X938RUS,1.0,1100.0,Ford,Focus,1984
7781KT197RUS,1.0,1200.0,Ford,Focus,1993
97968K152RUS,2.0,500.0,Ford,Focus,2018
H837YK197RUS,2.0,4200.0,Audi,,1991
X320MK197RUS,1.0,7500.0,Ford,Focus,1986
96907X197RUS,2.0,3000.0,BMW,,1980
C798ET50RUS,1.0,10000.0,Ford,Focus,1983
8441XX154RUS,1.0,500.0,Ford,Focus,1986
8180XX154RUS,2.0,1400.0,Ford,Focus,2003
9402KK197RUS,,8594.6,Toyota,Camry,2014
7840C8197RUS,2.0,7000.0,Ford,Focus,1982
7788KT197RUS,2.0,12000.0,Ford,Focus,1981
E41577152RUS,2.0,3000.0,Ford,Focus,1983
Y352O8197RUS,2.0,103600.0,Ford,Focus,1992
8321XX154RUS,1.0,100.0,Ford,Focus,2015
H976HY161RUS,2.0,2200.0,Ford,Focus,1995
K2797K154RUS,1.0,8594.6,Ford,Focus,1995
Y302E877RUS,1.0,500.0,Ford,Focus,2000
K2797K154RUS,1.0,800.0,Ford,Focus,1993
92918M178RUS,1.0,5700.0,Ford,Focus,2005
89557X197RUS,2.0,22400.0,Toyota,Camry,1980
8316XX154RUS,1.0,1100.0,Ford,Focus,1988
96659X178RUS,1.0,900.0,Ford,Focus,2002
H259HY161RUS,1.0,900.0,Toyota,Corolla,1985
X782CO96RUS,1.0,1000.0,Ford,Focus,2005
H232YH197RUS,1.0,8594.6,Ford,Focus,1999
T288CT96RUS,1.0,4500.0,Ford,Focus,2017
Y7129Y50RUS,1.0,8594.6,Ford,Focus,1980
T171CC96RUS,2.0,2000.0,Ford,Focus,2000
H906YK197RUS,1.0,12000.0,Ford,Focus,2011
E160YX77RUS,2.0,2200.0,Ford,Focus,1990
E816HE77RUS,1.0,3000.0,Ford,Focus,1981
Y8259C197RUS,2.0,3000.0,Ford,Focus,2007
H115YO163RUS,1.0,8594.6,Ford,Focus,2016
8437XX154RUS,1.0,8594.6,Ford,Focus,2017
H961HY161RUS,2.0,2500.0,Ford,Focus,1980
H237YH197RUS,1.0,600.0,Ford,Focus,1980
T6459O50RUS,1.0,2000.0,Ford,Focus,1995
M268CH197RUS,1.0,800.0,Toyota,Camry,1981
T6049O50RUS,2.0,15000.0,Ford,Focus,2013
C420X938RUS,2.0,3300.0,Ford,Focus,1990
C3829X154RUS,2.0,13500.0,Ford,Focus,2015
O22397197RUS,1.0,18500.0,Ford,Focus,1982
E52677152RUS,2.0,2500.0,Ford,Focus,1994
C584EY154RUS,1.0,500.0,Ford,Focus,1984
7828C8197RUS,2.0,6700.0,Ford,Focus,1989
7183TT36RUS,2.0,16200.0,Ford,Focus,1981
O718MM163RUS,2.0,7000.0,Ford,Focus,1988
X256HE161RUS,,800.0,Ford,Focus,2003
E160YX77RUS,2.0,1100.0,Ford,Focus,2006
7840C8197RUS,2.0,3500.0,Ford,Focus,1997
X286TC36RUS,2.0,8594.6,Ford,Focus,2003
T6428M116RUS,2.0,6000.0,Ford,Focus,1992
Y7689C197RUS,2.0,45000.0,Ford,Focus,1987
H618YC38RUS,,300.0,Volkswagen,Golf,2014
O49797197RUS,2.0,5300.0,Ford,Focus,2000
H419XE197RUS,2.0,6900.0,Toyota,Corolla,1981
H971HY161RUS,2.0,7400.0,Ford,Focus,1986
H957HY161RUS,1.0,8594.6,Ford,Focus,2018
T6449O50RUS,2.0,8594.6,Ford,Focus,1993
9499KX178RUS,1.0,4600.0,Ford,Focus,1982
T394KX197RUS,2.0,1500.0,Ford,Focus,1983
Y344E877RUS,1.0,1000.0,Ford,Focus,1991
O77997197RUS,2.0,5600.0,Ford,Focus,2018
O02397197RUS,1.0,4000.0,Volkswagen,Jetta,1992
98087H178RUS,1.0,8594.6,Ford,Focus,2010
O68897197RUS,1.0,8200.0,Ford,Focus,2014
Y359EY197RUS,2.0,3000.0,Skoda,Octavia,2000
O143HO197RUS,2.0,30300.0,Toyota,Corolla,1983
Y7379Y50RUS,2.0,2000.0,Ford,Focus,1991
Y8399C197RUS,2.0,1800.0,Ford,Focus,1994
9072EM178RUS,2.0,4400.0,Ford,Focus,2008
T6488M116RUS,2.0,21000.0,Ford,Focus,2004
9881HX152RUS,2.0,20600.0,Ford,Focus,1987
Y973O8197RUS,1.0,34800.0,Ford,Focus,2008
E394MO152RUS,2.0,10500.0,Ford,Focus,1989
X504X8197RUS,1.0,8594.6,Skoda,Octavia,1988
H214X836RUS,1.0,8000.0,Ford,Focus,1986
T535ET96RUS,2.0,3000.0,Ford,Focus,2004
C477M7161RUS,2.0,5000.0,Ford,Focus,1999
E53488152RUS,2.0,3600.0,Ford,Focus,1986
K2797K154RUS,2.0,2400.0,Ford,Focus,2008
E948C8152RUS,2.0,6000.0,Ford,Focus,2015
Y316E877RUS,2.0,7000.0,Ford,Focus,1992
O719MM163RUS,2.0,2300.0,Ford,Focus,1990
7843C8197RUS,2.0,12300.0,Ford,Focus,2014
7368C8197RUS,1.0,4400.0,Ford,Focus,1989
96679X178RUS,2.0,2400.0,Ford,Focus,2007
96857X197RUS,,18900.0,Skoda,Octavia,2015
M256OH161RUS,2.0,1600.0,Ford,Focus,1992
M372CH197RUS,1.0,21600.0,Ford,Focus,2015
7844C8197RUS,2.0,34000.0,Ford,Focus,1988
H387TM197RUS,2.0,3200.0,Volkswagen,Passat,2002
Y166O8161RUS,1.0,100.0,Ford,Focus,1993
705787163RUS,1.0,100.0,Ford,Focus,1986
7197TT36RUS,2.0,6800.0,Ford,Focus,2006
84418C154RUS,1.0,3000.0,Ford,Focus,2014
H385TM197RUS,1.0,9500.0,Volkswagen,Passat,2000
E28877161RUS,1.0,1000.0,Ford,Focus,2015
Y653E8750RUS,1.0,500.0,Skoda,Octavia,2002
Y969O8197RUS,1.0,15600.0,Ford,Focus,1998
Y969O8197RUS,2.0,7800.0,Ford,Focus,1986
7361C8197RUS,1.0,1600.0,Ford,Focus,1995
Y038TO197RUS,1.0,7600.0,Toyota,Corolla,1987
7066C8197RUS,2.0,15000.0,Volkswagen,Passat,2001
T769OT197RUS,2.0,30900.0,Volkswagen,Golf,2018
O22297197RUS,1.0,8594.6,Ford,Focus,1993
7788KT197RUS,2.0,4000.0,Ford,Focus,1982
H115YO163RUS,2.0,1100.0,Ford,Focus,1990
E552MO152RUS,1.0,8594.6,Ford,Focus,1998
O83597197RUS,2.0,4000.0,Ford,Focus,1998
M592CH197RUS,2.0,8594.6,Skoda,Octavia,2004
X762HY197RUS,1.0,500.0,Ford,Focus,2001
M577CH197RUS,2.0,17000.0,Ford,Focus,2014
9182CE154RUS,2.0,13200.0,Ford,Focus,2013
K339T8197RUS,2.0,19200.0,Ford,Focus,2002
Y973O8197RUS,2.0,8594.6,Ford,Focus,1980
9428EX178RUS,1.0,500.0,Ford,Focus,2005
X4128H125RUS,2.0,8594.6,Ford,Focus,1989
X256HE161RUS,2.0,1600.0,Ford,Focus,2004
7842C8197RUS,1.0,6000.0,Ford,Focus,2008
O753MX161RUS,2.0,700.0,Ford,Focus,2002
T6559O50RUS,1.0,4000.0,Ford,Focus,2006
Y356O8197RUS,2.0,45900.0,Ford,Focus,2001
X759HY197RUS,1.0,37500.0,Ford,Focus,1980
H217X836RUS,1.0,2000.0,Ford,Focus,2013
Y654E8750RUS,1.0,500.0,Skoda,Octavia,1996
98017H178RUS,1.0,1500.0,Ford,Focus,2004
7183TT36RUS,2.0,5400.0,Ford,Focus,2005
O22097197RUS,1.0,24300.0,Ford,Focus,1982
H387TM197RUS,2.0,1600.0,Volkswagen,Passat,1999
E42577152RUS,2.0,8594.6,Ford,Focus,1987
Y275O8197RUS,1.0,8594.6,Ford,Focus,1983
9683EC178RUS,2.0,6500.0,Ford,Focus,2008
M374CH197RUS,1.0,5500.0,Ford,Focus,1990
9943OH154RUS,1.0,400.0,Skoda,Octavia,2016
K327T8197RUS,2.0,20800.0,Volkswagen,Golf,2017
X767HY197RUS,2.0,36000.0,Ford,Focus,2003
T686EO197RUS,1.0,1000.0,Toyota,Camry,2006
7831C8197RUS,2.0,6800.0,Ford,Focus,1992
9020YC197RUS,2.0,145000.0,Skoda,Octavia,1988
7369C8197RUS,2.0,8594.6,Ford,Focus,2017
O77997197RUS,2.0,8594.6,Ford,Focus,2006
7788KT197RUS,2.0,8594.6,Ford,Focus,1988
Y234E877RUS,1.0,8594.6,Ford,Focus,1989
O6939X163RUS,1.0,7200.0,Ford,Focus,1994
7364C8197RUS,2.0,8594.6,Ford,Focus,1990
9408H7178RUS,1.0,1000.0,Skoda,Octavia,2004
E40577152RUS,1.0,8594.6,Ford,Focus,1984
K328T8197RUS,1.0,300.0,Volkswagen,Golf,1989
9683EC178RUS,2.0,26000.0,Ford,Focus,2001
8439XX154RUS,2.0,4600.0,Ford,Focus,1989
X583HE161RUS,1.0,3000.0,Ford,Focus,1999
X795O796RUS,1.0,2000.0,Ford,Focus,1987
H427YH197RUS,1.0,9900.0,Volkswagen,Passat,2015
Y780EE197RUS,2.0,4600.0,Volkswagen,Golf,2000
9697MO178RUS,1.0,1000.0,Volkswagen,Golf,1983
9939KK197RUS,1.0,1600.0,Ford,Focus,1996
T018OX197RUS,2.0,3400.0,Toyota,Corolla,1986
7830C8197RUS,1.0,5100.0,Ford,Focus,1988
E53677152RUS,2.0,11000.0,Ford,Focus,2014
Y164O8161RUS,1.0,800.0,Ford,Focus,2017
T6419O50RUS,2.0,27000.0,Ford,Focus,1993
X765HY197RUS,2.0,13900.0,Ford,Focus,2007
X423MK197RUS,2.0,14300.0,Ford,Focus,2002
7826C8197RUS,2.0,3600.0,Ford,Focus,1980
E223YM197RUS,2.0,19500.0,Ford,Focus,1984
H977HY161RUS,1.0,600.0,Ford,Focus,1995
8603T8154RUS,1.0,1500.0,Ford,Focus,2010
98047H178RUS,1.0,500.0,Ford,Focus,1995
X522OM161RUS,1.0,1500.0,Ford,Focus,1987
O136HO197RUS,2.0,7800.0,Toyota,Corolla,1980
7089H8163RUS,2.0,4400.0,Toyota,Corolla,1988
O718MM163RUS,2.0,8594.6,Ford,Focus,1980
7608EE777RUS,1.0,4000.0,Skoda,Octavia,1998
T171CC96RUS,1.0,1000.0,Ford,Focus,1993
E822TH36RUS,2.0,12900.0,Ford,Focus,1996
H115YO163RUS,1.0,2200.0,Ford,Focus,1993
7365C8197RUS,1.0,2300.0,Ford,Focus,1999
C299K9154RUS,1.0,500.0,Ford,Focus,2006
M2169X197RUS,2.0,3100.0,Ford,Focus,2013
Y7659C197RUS,2.0,8594.6,Ford,Focus,1980
E396MO152RUS,2.0,3000.0,Ford,Focus,1982
O22297197RUS,1.0,500.0,Ford,Focus,1993
7364C8197RUS,2.0,4500.0,Ford,Focus,1981
Y192O8161RUS,2.0,300.0,Ford,Focus,1999
H220X836RUS,1.0,7000.0,Ford,Focus,1988
T483CT96RUS,1.0,500.0,Ford,Focus,1989
X257HE161RUS,1.0,5000.0,Ford,Focus,2006
8182XX154RUS,1.0,200.0,Ford,Focus,2015
X796TH96RUS,1.0,500.0,Ford,Focus,1981
T011MY163RUS,2.0,4000.0,Ford,Focus,1997
T341CC96RUS,2.0,1000.0,Volkswagen,Passat,1982
T119CT96RUS,1.0,2000.0,Ford,Focus,2004
NEW1,0.0,500.0,Lada,Granta,2018
NEW2,0.0,1000.0,Toyota,Camry,2019
NEW3,1.0,750.0,Chevrolet,Aveo,2020
NEW4,1.0,1200.0,Audi,A4,2017
NEW5,2.0,3000.0,Tesla,Model S,2016
